instance_id,trip_key,train_number,departure_date,station_from,station_to,match_type,first_seen_kyiv,last_seen_kyiv,n_seen,last_delay_min,max_delay_min,min_delay_min,last_status,last_reliability,last_reason,n_stops,passed_count,last_stop_passed,finished,finished_at_kyiv,final_delay_min,instance_reason,after_monitoring_gap
773/774|Конотоп-Пас.|Жмеринка-Пас.|23.09@20260923-1807,773/774|Конотоп-Пас.|Жмеринка-Пас.|23.09,773/774,23.09,Конотоп-Пас.,Жмеринка-Пас.,transit,2026-09-23 18:07:06,2026-09-23 22:02:40,2,20,73,20,В дорозі,Висока,,18,13,0,0,,,first_seen,0
63/64|Харків-Пас.|Перемишль|@20260923-1807,63/64|Харків-Пас.|Перемишль|,63/64,,Харків-Пас.,Перемишль,both,2026-09-23 18:07:06,2026-09-23 18:07:06,1,70,70,70,В дорозі,Висока,,13,12,0,1,2026-09-23 22:02:40,70,first_seen,0
41/42|Трускавець|Дніпро-Головний|23.09@20260923-1807,41/42|Трускавець|Дніпро-Головний|23.09,41/42,23.09,Трускавець,Дніпро-Головний,endpoint,2026-09-23 18:07:06,2026-09-24 01:10:25,3,60,60,60,В дорозі,Середня,,0,0,0,0,,,first_seen,0
107/108|Солотвино|Київ-Пас.|23.09@20260923-1807,107/108|Солотвино|Київ-Пас.|23.09,107/108,23.09,Солотвино,Київ-Пас.,endpoint,2026-09-23 18:07:06,2026-09-23 18:07:06,1,60,60,60,Готується,Середня,,0,0,0,1,2026-09-23 22:02:40,60,first_seen,0
41/42|Дніпро-Головний|Трускавець|23.09@20260923-1807,41/42|Дніпро-Головний|Трускавець|23.09,41/42,23.09,Дніпро-Головний,Трускавець,endpoint,2026-09-23 18:07:06,2026-09-24 01:10:25,3,212,212,58,В дорозі,Висока,,0,0,0,0,,,first_seen,0
285/286|Дніпро-Головний|Львів|23.09@20260923-1807,285/286|Дніпро-Головний|Львів|23.09,285/286,23.09,Дніпро-Головний,Львів,both,2026-09-23 18:07:06,2026-09-24 01:10:25,3,212,212,58,В дорозі,Висока,,27,13,0,0,,,first_seen,0
9/10|Будапешт-Келеті|Київ-Пас.|@20260923-1807,9/10|Будапешт-Келеті|Київ-Пас.|,9/10,,Будапешт-Келеті,Київ-Пас.,both,2026-09-23 18:07:06,2026-09-23 18:07:06,1,57,57,57,В дорозі,Висока,,6,5,0,1,2026-09-23 22:02:40,57,first_seen,0
177/178|Івано-Франківськ|Київ-Пас.|@20260923-1807,177/178|Івано-Франківськ|Київ-Пас.|,177/178,,Івано-Франківськ,Київ-Пас.,both,2026-09-23 18:07:06,2026-09-23 18:07:06,1,57,57,57,В дорозі,Висока,,4,3,0,1,2026-09-23 22:02:40,57,first_seen,0
57/58|Ясіня|Київ-Пас.|@20260923-1807,57/58|Ясіня|Київ-Пас.|,57/58,,Ясіня,Київ-Пас.,both,2026-09-23 18:07:06,2026-09-23 18:07:06,1,55,55,55,В дорозі,Висока,,20,6,0,1,2026-09-23 22:02:40,55,first_seen,0
9/10|Київ-Пас.|Будапешт-Келеті|@20260923-1807,9/10|Київ-Пас.|Будапешт-Келеті|,9/10,,Київ-Пас.,Будапешт-Келеті,both,2026-09-23 18:07:06,2026-09-24 01:10:25,3,60,60,49,В дорозі,Висока,,4,4,1,0,,,first_seen,0
63/64|Перемишль|Харків-Пас.|@20260923-1807,63/64|Перемишль|Харків-Пас.|,63/64,,Перемишль,Харків-Пас.,both,2026-09-23 18:07:06,2026-09-23 22:02:40,2,72,72,34,В дорозі,Висока,,12,4,0,0,,,first_seen,0
61/62|Дніпро-Головний|Івано-Франківськ|@20260923-1807,61/62|Дніпро-Головний|Івано-Франківськ|,61/62,,Дніпро-Головний,Івано-Франківськ,both,2026-09-23 18:07:06,2026-09-24 01:10:25,3,189,189,33,В дорозі,Висока,,14,11,0,0,,,first_seen,0
261/262|Дніпро-Головний|Чернівці|@20260923-1807,261/262|Дніпро-Головний|Чернівці|,261/262,,Дніпро-Головний,Чернівці,both,2026-09-23 18:07:06,2026-09-24 01:10:25,3,189,189,33,В дорозі,Висока,,17,11,0,0,,,first_seen,0
85/86|Дніпро-Головний|Львів|@20260923-1807,85/86|Дніпро-Головний|Львів|,85/86,,Дніпро-Головний,Львів,both,2026-09-23 18:07:06,2026-09-24 01:10:25,3,96,96,21,В дорозі,Висока,,11,8,0,0,,,first_seen,0
5/6|Запоріжжя-1|Івано-Франківськ|@20260923-1807,5/6|Запоріжжя-1|Івано-Франківськ|,5/6,,Запоріжжя-1,Івано-Франківськ,transit,2026-09-23 18:07:06,2026-09-24 01:10:25,3,96,96,21,В дорозі,Висока,,14,10,0,0,,,first_seen,0
31/32|Запоріжжя-1|Перемишль|@20260923-2202,31/32|Запоріжжя-1|Перемишль|,31/32,,Запоріжжя-1,Перемишль,transit,2026-09-23 22:02:40,2026-09-24 01:10:25,2,287,287,231,В дорозі,Висока,,13,9,0,0,,,first_seen,0
293/294|Рахів|Кривий Ріг-Головний|@20260923-2202,293/294|Рахів|Кривий Ріг-Головний|,293/294,,Рахів,Кривий Ріг-Головний,transit,2026-09-23 22:02:40,2026-09-24 01:10:25,2,228,228,169,В дорозі,Висока,,15,11,0,0,,,first_seen,0
731/732|Дніпро-Головний|Київ-Пас.|@20260923-2202,731/732|Дніпро-Головний|Київ-Пас.|,731/732,,Дніпро-Головний,Київ-Пас.,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,170,170,124,В дорозі,Висока,,9,8,0,0,,,first_seen,0
85/86|Львів|Дніпро-Головний|23.09@20260923-2202,85/86|Львів|Дніпро-Головний|23.09,85/86,23.09,Львів,Дніпро-Головний,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,113,113,86,В дорозі,Висока,,9,2,0,0,,,first_seen,0
1/2|Харків-Пас.|Рахів|@20260923-2202,1/2|Харків-Пас.|Рахів|,1/2,,Харків-Пас.,Рахів,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,133,133,78,В дорозі,Висока,,13,5,0,0,,,first_seen,0
3/4|Ужгород|Дніпро-Головний|@20260923-2202,3/4|Ужгород|Дніпро-Головний|,3/4,,Ужгород,Дніпро-Головний,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,82,82,77,В дорозі,Висока,,15,8,0,0,,,first_seen,0
107/108|Солотвино-1|Київ-Пас.|23.09@20260923-2202,107/108|Солотвино-1|Київ-Пас.|23.09,107/108,23.09,Солотвино-1,Київ-Пас.,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,72,75,72,В дорозі,Висока,,26,11,0,0,,,first_seen,0
79/80|Львів|Дніпро-Головний|@20260923-2202,79/80|Львів|Дніпро-Головний|,79/80,,Львів,Дніпро-Головний,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,75,75,71,В дорозі,Висока,,12,6,0,0,,,first_seen,0
43/44|Черкаси|Івано-Франківськ|@20260923-2202,43/44|Черкаси|Івано-Франківськ|,43/44,,Черкаси,Івано-Франківськ,transit,2026-09-23 22:02:40,2026-09-24 01:10:25,2,87,87,69,В дорозі,Висока,,12,4,0,0,,,first_seen,0
791/792|Київ-Пас.|Кременчук-Пас.|@20260923-2202,791/792|Київ-Пас.|Кременчук-Пас.|,791/792,,Київ-Пас.,Кременчук-Пас.,endpoint,2026-09-23 22:02:40,2026-09-23 22:02:40,1,65,65,65,В дорозі,Висока,,0,0,0,0,,,first_seen,0
789/790|Київ-Пас.|Кропивницький|@20260923-2202,789/790|Київ-Пас.|Кропивницький|,789/790,,Київ-Пас.,Кропивницький,endpoint,2026-09-23 22:02:40,2026-09-23 22:02:40,1,65,65,65,В дорозі,Висока,,0,0,0,0,,,first_seen,0
119/120|Хелм|Дніпро-Головний|@20260923-2202,119/120|Хелм|Дніпро-Головний|,119/120,,Хелм,Дніпро-Головний,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,40,45,40,В дорозі,Висока,,15,9,0,0,,,first_seen,0
743/744|Львів|Дарниця|@20260923-2202,743/744|Львів|Дарниця|,743/744,,Львів,Дарниця,both,2026-09-23 22:02:40,2026-09-23 22:02:40,1,41,41,41,В дорозі,Висока,,5,3,0,0,,,first_seen,0
29/30|Київ-Пас.|Ужгород|@20260923-2202,29/30|Київ-Пас.|Ужгород|,29/30,,Київ-Пас.,Ужгород,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,54,54,39,В дорозі,Висока,,8,2,0,0,,,first_seen,0
27/28|Київ-Пас.|Чоп|@20260923-2202,27/28|Київ-Пас.|Чоп|,27/28,,Київ-Пас.,Чоп,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,54,54,39,В дорозі,Висока,,5,2,0,0,,,first_seen,0
59/60|Київ-Пас.|Чоп|@20260923-2202,59/60|Київ-Пас.|Чоп|,59/60,,Київ-Пас.,Чоп,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,45,45,37,В дорозі,Висока,,21,2,0,0,,,first_seen,0
57/58|Київ-Пас.|Ясіня|@20260923-2202,57/58|Київ-Пас.|Ясіня|,57/58,,Київ-Пас.,Ясіня,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,45,45,37,В дорозі,Висока,,20,2,0,0,,,first_seen,0
19/20|Київ-Пас.|Хелм|@20260923-2202,19/20|Київ-Пас.|Хелм|,19/20,,Київ-Пас.,Хелм,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,46,46,33,В дорозі,Висока,,3,1,0,0,,,first_seen,0
67/68|Київ-Пас.|Варшава Заходня|@20260923-2202,67/68|Київ-Пас.|Варшава Заходня|,67/68,,Київ-Пас.,Варшава Заходня,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,46,46,33,В дорозі,Висока,,3,1,0,0,,,first_seen,0
21/22|Львів|Харків-Пас.|@20260923-2202,21/22|Львів|Харків-Пас.|,21/22,,Львів,Харків-Пас.,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,30,32,30,В дорозі,Висока,,14,7,0,0,,,first_seen,0
109/110|Львів|Миколаїв Пас.|@20260923-2202,109/110|Львів|Миколаїв Пас.|,109/110,,Львів,Миколаїв Пас.,both,2026-09-23 22:02:40,2026-09-24 01:10:25,2,42,42,32,В дорозі,Висока,,25,12,0,0,,,first_seen,0
37/38|Одеса-Головна|Ужгород|@20260923-2202,37/38|Одеса-Головна|Ужгород|,37/38,,Одеса-Головна,Ужгород,both,2026-09-23 22:02:40,2026-09-23 22:02:40,1,23,23,23,В дорозі,Висока,,24,4,0,0,,,first_seen,0
